arb_ID,timestamp,asset_in,amount_in,asset_out,amount_out,source_pool,target_pool,delta_X
ARB_00054_3643,2025-01-17 10:49:47.163420,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.82323621,ETH.ETH,32174.51278901,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,30870.07291284
ARB_00055_7892,2024-12-19 08:31:12.163425,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,6.23237921,MAYA.CACAO,175231.92595137,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,59539.70520531
ARB_00056_1403,2024-12-05 12:40:33.163431,MAYA.CACAO,7.14956026,ETH.ETH,76205.61398457,ETH.ETH-MAYA.CACAO,ETH.ETH-MAYA.CACAO,-168807.91090531
ARB_00057_7834,2025-03-04 14:01:39.163437,ETH.ETH,9.61929013,KUJI.KUJI,32053.39219252,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-345518.12062496
ARB_00058_6387,2025-05-01 01:59:53.163442,BTC.BTC,3.1783112,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,19125.20388306,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-35408.08226753
ARB_00059_1302,2024-11-26 18:13:07.163449,ETH.ETH,1.9619008,KUJI.KUJI,30638.5255557,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,21873.21899919
ARB_00060_5924,2025-01-28 19:31:50.163455,ETH.ETH,4.66864847,KUJI.KUJI,103334.08636013,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,14461.9455217
ARB_00061_6130,2025-04-27 13:02:38.163461,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0.27461596,BTC.BTC,7416.05785437,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-738.88598569
ARB_00062_4434,2025-03-29 13:36:37.163467,KUJI.KUJI,0.46861938,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,11760.33262038,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,-7040.16265681
ARB_00063_9610,2025-02-02 12:33:01.163472,MAYA.CACAO,6.47787694,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,185188.59833089,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,136247.4375352
ARB_00064_7854,2024-12-27 10:55:27.163478,BTC.BTC,2.21342695,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,49158.15156703,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-65022.02788021
ARB_00065_6456,2025-02-16 12:58:43.163484,KUJI.KUJI,0.87943027,ETH.ETH,4304.13782369,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-15612.54658803
ARB_00066_9382,2025-05-08 09:22:24.163489,BTC.BTC,7.30549156,MAYA.CACAO,309806.26708697,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,220137.48905887
ARB_00067_4978,2024-11-27 20:08:26.163495,KUJI.KUJI,7.02165354,BTC.BTC,54731.41059415,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,39492.86533164
ARB_00068_5636,2024-12-01 10:41:21.163500,BTC.BTC,5.10174103,ETH.ETH,177141.87290792,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,82805.13962695
ARB_00069_2998,2025-01-27 15:21:50.163506,ETH.ETH,6.26675355,MAYA.CACAO,85254.8948706,ETH.ETH-MAYA.CACAO,ETH.ETH-MAYA.CACAO,-186363.58326961
ARB_00070_9943,2025-04-20 14:34:15.163511,BTC.BTC,5.54099659,KUJI.KUJI,253015.07821909,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,238005.23080321
ARB_00071_9939,2025-03-23 22:08:40.163516,KUJI.KUJI,4.30323302,ETH.ETH,145019.91732842,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-22393.55016585
ARB_00072_1292,2025-05-11 02:39:06.163522,ETH.ETH,2.41034948,KUJI.KUJI,72997.26382019,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-14524.78136841
ARB_00073_1461,2025-01-10 05:43:46.163528,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,3.04919657,ETH.ETH,162134.8953068,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,117339.51104466
ARB_00074_5291,2025-05-10 19:01:27.163533,ETH.ETH,7.15789556,KUJI.KUJI,290785.5332621,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-3532.8981464
ARB_00075_5590,2024-12-17 13:57:06.163539,ETH.ETH,3.78532485,BTC.BTC,124602.92545054,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,108842.47480584
ARB_00076_1426,2025-01-19 14:56:36.163544,ETH.ETH,6.60327141,KUJI.KUJI,77765.47020972,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-53089.565786
ARB_00077_8480,2024-12-01 10:17:18.163550,BTC.BTC,5.60691666,KUJI.KUJI,187331.81056667,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,-95719.94350282
ARB_00078_8210,2025-02-11 17:28:41.163555,MAYA.CACAO,7.93068952,BTC.BTC,315681.67171938,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,239821.18188845
ARB_00079_4895,2024-11-19 14:13:53.163561,ETH.ETH,4.05328238,KUJI.KUJI,96360.69076089,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-104327.5763145
ARB_00080_1970,2025-04-20 03:58:01.163567,BTC.BTC,9.54715688,ETH.ETH,226321.04789276,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,-200070.23031981
ARB_00081_8228,2025-01-03 10:24:24.163572,BTC.BTC,3.28004993,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,48167.56923612,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-86655.30607866
ARB_00082_2323,2024-12-24 08:40:04.163577,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,6.01952805,ETH.ETH,209876.77519391,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,72421.58163909
ARB_00083_5176,2025-04-18 10:32:43.163583,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1.15597076,BTC.BTC,27758.61095362,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-3778.34593303
ARB_00084_6284,2025-03-08 17:09:06.163588,MAYA.CACAO,8.90149348,KUJI.KUJI,184012.98354555,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,-133686.90048107
ARB_00085_6666,2025-05-09 10:11:45.163594,KUJI.KUJI,5.0288707,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,226377.88663075,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,-16866.64007782
ARB_00086_9457,2025-04-20 13:18:10.163599,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,6.84057874,MAYA.CACAO,229233.9617888,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,22807.70899188
ARB_00087_4237,2025-03-16 18:20:46.163605,MAYA.CACAO,6.36092948,BTC.BTC,270789.43862716,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,226367.3491181
ARB_00088_2096,2024-11-26 00:04:45.163610,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,3.87094057,KUJI.KUJI,148233.45596117,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,4582.59274741
ARB_00089_9535,2024-12-04 14:32:21.163621,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,8.81824108,ETH.ETH,4489.88409548,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-48548.51037472
ARB_00090_4506,2025-03-20 01:44:00.163626,ETH.ETH,0.7518973,BTC.BTC,25632.77008563,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,-2311.24663796
ARB_00091_4005,2024-12-27 06:41:59.163632,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,6.40500802,BTC.BTC,274280.21241823,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,220295.12698405
ARB_00092_2899,2025-05-10 13:33:19.163637,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,5.08971821,KUJI.KUJI,194523.12266059,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,5100.96719326
ARB_00093_6906,2025-03-28 13:40:01.163643,ETH.ETH,4.47655307,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,140671.14346939,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,11031.18964626
ARB_00094_7672,2024-11-30 16:02:03.163649,ETH.ETH,9.65411065,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,352674.71888521,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-46716.87302063
ARB_00095_4951,2025-02-03 23:50:57.163654,MAYA.CACAO,3.83155484,KUJI.KUJI,92585.58482237,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,-101948.97573226
ARB_00096_3622,2024-12-17 23:37:39.163660,KUJI.KUJI,2.3122766,ETH.ETH,62366.02651245,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,14053.4198669
ARB_00097_5289,2025-01-31 06:07:20.163665,KUJI.KUJI,2.116897,ETH.ETH,14474.21866543,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-66236.4943902
ARB_00098_7972,2025-02-13 10:12:11.163671,BTC.BTC,0.39157962,KUJI.KUJI,2980.77800939,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,-2808.67544783
ARB_00099_5133,2025-04-30 11:55:59.163676,KUJI.KUJI,4.4658379,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,241803.90043506,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,132297.72474594
